ID,Title,Speakers,Published?,Pinned?,Start Date & Time,End Date & Time,Type/Track,Description,Venue,Physical Address,Link To Image File,Video Stream,Tags,Custom Filter 1,Custom Filter 2,Custom Filter 3,Custom Filter 4,Host Organization,Feedback Survey URL,about,Manager Emails,Collect y/n
1,Sharding and Things We'd Like To See Improved,Igor Donchovski,Y,N,2022-05-17 10:30:00,5.17.2022 11:20 AM,MongoDB 1,"Starting with MongoDB version 5.0, we can reshard a collection using the new shard key. But there are still something we think could be improved like:<ul><li>Cluster metadata lack of details on chunks</li><li>TTL indexes</li><li>Improvements in the rebalancing process</li><li>Performance issues on rebalancing data</li><li>Observability</li></ul>",Classroom 201 M2,,,,,,,,,,,,,
10,Transforming Your DBA Team Into a DBRE/SRE One!,David Murphy,Y,N,2022-05-17 16:00:00,5.17.2022 4:50 PM,Partner,"A common and modern challenge is how you, as a DB team, can reinvent yourself and align with SLOs, SLIs, and other DevOps and SRE topics.<br><br>In this talk, we will go through:<ul><li>Team structuring</li><li>Team culture/branding</li><li>Ways of working</li><li>Focuses and goals for the team</li><li>Sharing reports/data/metrics vs. security/GDPR</li></ul>",Classroom 202 M2,,,,,,,,,,,,,
100,Percona XtraBackup - new features and improvements,Marcelo Altmann,Y,N,2022-05-16 10:30:00,5.16.2022 11:15 AM,Advanced Database Topics,"Percona XtraBackup is an open-source hot backup utility for MySQL - based servers that doesn't lock your database during the backup. In this talk, we will cover the latest development and new features introduced on Xtrabackup and its auxiliary tools: - Page Tracking - Azure Blob Storage Support - Exponential Backoff - Keyring Components - and more.",Classroom 202 M2,,,,,,,,,,,,,
101,Database Reliability Engineering for MySQL,Matthias Crauwels,Y,N,2022-05-16 11:15:00,5.16.2022 12:00 PM,Advanced Database Topics,"A common request that we get from our clients is to make MySQL highly available or to enhance existing architecture. We have standardized our approach by combining a proxy layer, for traffic redirection, a topology management tool, for master failover/switchover, and some additional tools to glue together both layers.",Classroom 202 M2,,,,,,,,,,,,,
102,The Road Toward an Open Database Performance Ranking,Daniel Seybold,Y,N,2022-05-16 14:15:00,5.16.2022 3:00 PM,Advanced Database Topics,"Understanding the performance of different databases is crucial for building efficient, data-intensive applications. Benchmarking possible databases is a valid option for enabling such comparison, yet, it is a major challenge due to heterogeneity in the resource, database, and workload level.<br><br>To enable an on-demand comparison of cloud-hosted databases, we present a database performance ranking as an open dataset that is created with the Benchmarking-as-a-Service platform benchANT. This ranking will be continuously extended to cover the latest advancements in the cloud resource, database, and benchmark domain.",Classroom 202 M2,,,,,,,,,,,,,
103,The Development of Cloud-native Database GaussDB for MySQL,Calvin Sun; Alex Depoutovitch,Y,N,2022-05-16 15:00:00,5.16.2022 3:45 PM,Advanced Database Topics,"GaussDB for MySQL is a cloud-native database system based on MySQL 8.0. It uses the ""log is the database"" paradigm and separates compute and storage. It takes the full advantages of a computational storage system with flexible consistency models for superior performance and availability. Further, the system offloads certain query operators down to the storage layer to reduce data movement. The development of a multi-master system is also underway.<br><br>This talk will cover the following topics:<ul><li>Overview of the GaussDB for MySQL architecture</li><li>Design and implementation of near data processing (NDP)</li><li>Development of cloud-native multi-master</li><li>Performance results</li><li>Future directions</li></ul>",Classroom 202 M2,,,,,,,,,,,,,
104,So That's Why It's So Fast! An Introduction to ClickHouse Internals,Robert Hodges,Y,N,2022-05-16 15:45:00,5.16.2022 4:30 PM,Advanced Database Topics,"Are you a ClickHouse fan? Want to make your apps faster? This talk introduces ClickHouse internals, focusing on how to make analytic queries faster and more efficient. &nbsp;We'll cover data insertion, aggregation, joins, and distributed queries. You'll learn about the basic flow of query execution, how ClickHouse parallelizes processing, and how it uses memory. We'll also show you standard tools like the system.query_log table that help you diagnose problems, trace distributed queries, and track memory usage. To enjoy the talk, all you need is a basic knowledge of SQL. We'll supply the rest!",Classroom 202 M2,,,,,,,,,,,,,
105,Advanced PMM Usage,Michael Coburn; Francisco Bordenave,Y,N,2022-05-18 15:00:00,5.18.2022 3:50 PM,Percona,Have you already deployed Percona Monitoring and Management (PMM) and wonder what else you can do with the tool? &nbsp;Come to this talk to learn how to:<br><br><ul><li>Build a custom dashboard from scratch (it really is easy!).</li><li>Leverage Custom Queries for MySQL and PostgreSQL to plot data unique to your dataset.</li><li>Use the textfile collector to pull in data you generate from a shell script.</li></ul>,Classroom 106 M1,,,,,,,,,,,,,
106,Building an Open Source MongoDB-compatible Database on Top of PostgreSQL,Alexey Palazhchenko; Peter Farkas,Y,N,2022-05-17 17:00:00,5.17.2022 5:50 PM,Percona,"MongoDB is a life-changing technology for many developers, empowering them to build applications faster than using relational databases. However, MongoDB abandoned its open source roots, changing the license to SSPL and making it unusable for many open source and commercial projects. We decided to change that, so we started working on FerretDB – an open-source proxy, written Go, that accepts connections and handles queries from unmodified MongoDB clients, and stores data in PostgreSQL.<br><br>In our talk, we will discuss our reasoning for starting this project, our vision, the current state of FerretDB, some interesting implementation details, and our plans for the future.",Classroom 106 M1,,,,,,,,,,,,,
107,Better MySQL With Percona Monitoring and Management,Peter Zaitsev,Y,N,2022-05-17 17:00:00,5.17.2022 5:50 PM,MySQL,"Optimizing MySQL performance, troubleshooting MySQL problems, and managing backups are the most critical and challenging tasks for MySQL DBAs in their daily routine. The databases powering your applications need to be able to handle changing traffic workloads while remaining responsive and stable so that you can deliver an excellent user experience. At the same time, modern database vendors demonstrate a trend of moving away from traditional deployment methods to DBaaS, which means DBAs are also expected to find cost-efficient means of solving these issues.<br><br>In this presentation, we will demonstrate the advanced options of PMM that enable you to solve these challenges. We will show how to get the DBaaS experience built on free and open-source software. We will look at specific, common MySQL problems and review them.",Classroom 104 M1,,,,,,,,,,,,,
