Name (Required),Company,Position,Location,Bio/Description,Link To Image File
Ibrar Ahmad,Percona,Sr. Software Architect,,"Ibrar Ahmed is a Senior Software Architect in Percona LLC. Before coming to open source development, he had vast experience in software design and development. His primary focus was on system-level embedded development. After joining EnterpriseDB in 2006, an Enterprise PostgreSQL company, he started his career in open source development, specifically in PostgreSQL. He has contributed to the PostgreSQL community and other open source communities. His contribution ranges from the main performance feature enhancements to various PostgreSQL modules. In the database field, he has experience in other well-known databases, MySQL, Oracle, and NoSQL databases such as MongoDB and Hadoop. His expertise is not limited to core databases but with the tools related to databases like Hive, HBase, and Spark. He also worked on integrating these tools with PostgreSQL.<br><br>Ibrar gave more than fifteen PostgreSQL talks in the last year in various parts of the World (PostgreConf-EU, PostgreConf-ASIA,  PostgreConf-NY, Percona Lives, FOSDEM, etc.). He also authored multiple books on PostgreSQL.",https://avatars.sched.co/a/b5/14600091/avatar.jpg.320x320px.jpg?978
Hamid Akhtar,Percona,Senior Software Engineer,,"Hamid has more than two decades of professional software development experience and has been involved with PostgreSQL for more than a decade now. He was part of EnterpriseDB where managed PostgreSQL official installers for Windows, Linux, and macOS. At HighGo Software, he was one of the leading PostgreSQL architects working on multiple in-house solutions including in-memory solutions, ORC FDW, and various performance features. Hamid is currently the Senior Software Engineer for PostgreSQL at Percona where he is contributing towards the community as well as Percona's PostgreSQL offering..",https://avatars.sched.co/7/06/14598725/avatar.jpg.320x320px.jpg?b81
Naeem Akhtar,Percona,Senior QA - PostgreSQL,,Naeem is a Senior QA PostgreSQL at Percona,https://avatars.sched.co/6/42/14617122/avatar.jpg.320x320px.jpg?131
Mehboob Alam,ScaleGrid Inc.,Customer Advocate,Greater New York City Area,"Mehboob is a long-time contributor and advocate for the Postgres community for over 12 years. In addition to recruiting and coaching new speakers for the community conferences, Mehboob has reviewed over 1000+ technical proposals and presentations about using Postgres in the cloud, in startups, in enterprise datacenters, and high-security and regulated industries. <br>In addition to helping new community members find partners and collaborators, Mehboob works with many enterprise customers making their journey to open-source databases as part of their digital transformation and modernization strategy.<br><br>Mehboob’s first database was Ingres :)",https://avatars.sched.co/3/bc/977468/avatar.jpg.320x320px.jpg?218
Marcos Albe,Percona,Principal Support Engineer,,"After 12 years working as a developer for local and remote firms, Marcos decided to pursuit true love and become full time DBA, so he has been doing MySQL Support at Percona for the past 11+ years, providing lead web properties with advise on anything-MySQL and in-depth system performance analysis.",https://avatars.sched.co/d/dc/11733128/avatar.jpg.320x320px.jpg?f36
Marcelo Altmann,Percona,MySQL Software Developer,Campo Bom / Brazil,"Marcelo Altmann is a C++ Software Engineer working on MySQL related products. At Percona he has also worked as a Senior Support Engineer and a Tech Lead of the Support Team. Prior to joining Percona , he worked as a MySQL DBA at Ireland's CCTLD, and worked as a DBA/PHP developer in Brazil. He also blogs about other MySQL related stuff at his personal blog.",https://avatars.sched.co/a/97/13022070/avatar.jpg.320x320px.jpg?e48
Sumit Aneja,Broadcom Software,"Head, SaaS Platform Database Engineering",,"Sumit has over 20 years of experience in the database domain with demonstrated success in designing, architecture, operations, performance for highly available large scale databases ranging from traditional RDBMS to NoSQL databases. Sumit currently works for Broadcom Software and leads the SaaS Platform Database Engineering Team. At his current role, Sumit is involved with digital transformations, cloud migrations, embracing open source database technologies, deploying stateful database workloads on Kubernetes.",https://avatars.sched.co/8/a4/8215053/avatar.jpg.320x320px.jpg?347
Arunjith Aravindan,Percona,Senior MySQL DBA,,"Arunjith has been consulting on OpenSource and MySQL for 12+ years.<br>Joined Percona in July 2014, and consults with Percona's Managed Services customers on building and maintaining reliable and high-performance MySQL infrastructures.<br>https://www.percona.com/blog/author/arunjith-aravindan/",https://avatars.sched.co/d/37/14617047/avatar.jpg.320x320px.jpg?905
Kyle Avants,Percona,Solutions Engineer,,,https://avatars.sched.co/d/2d/14617133/avatar.jpg.320x320px.jpg?ef2
Jeff Bailey,PingCAP,Education North America Regional Manager,,"Jeff Bailey works at PingCAP, the creator of TiDB, a distributed NewSQL database. Jeff is the  Regional Manager of PingCAP Education in North America. He is responsible for the PingCAP education offerings in North America.<br><br>Prior to working at PingCAP, Jeff was the Data Access Product Management Technical Lead for data access and Hadoop at SAS Institute. Jeff has spent the majority of his career helping customers use database management systems. He has written many papers covering how to use SAS with databases. In addition, he is frequently asked to speak on using SAS with databases. He has held positions in SAS R&D, Consulting, Education and Product Management. Jeff has a B.S. in Computer Science from the University of North Carolina at Charlotte.<br><br><br>",https://avatars.sched.co/3/6d/14784884/avatar.jpg.320x320px.jpg?2e9
